State,Average_Transaction_Value
manipur,2539.4
nagaland,2380.16
mizoram,2359.88
ladakh,2261.85
meghalaya,1833.85
andhra-pradesh,1832.53
lakshadweep,1820.51
sikkim,1806.01
andaman-&-nicobar-islands,1779.72
arunachal-pradesh,1712.83
west-bengal,1695.5
punjab,1683.06
tripura,1659.93
bihar,1636.17
telangana,1591.46
rajasthan,1539.77
tamil-nadu,1530.99
assam,1529.67
gujarat,1515.25
uttar-pradesh,1451.4
jammu-&-kashmir,1443.67
chandigarh,1436.84
haryana,1429.97
puducherry,1424.43
goa,1400.27
jharkhand,1384.45
odisha,1375.11
himachal-pradesh,1372.85
delhi,1369.87
madhya-pradesh,1359.08
kerala,1336.99
uttarakhand,1313.71
karnataka,1313.45
chhattisgarh,1309.84
maharashtra,1262.28
dadra-&-nagar-haveli-&-daman-&-diu,1002.49
