,State,Device_Brand,Top_Registered_Users
0,andaman-&-nicobar-islands,Vivo,76288
1,andaman-&-nicobar-islands,Xiaomi,76288
2,andaman-&-nicobar-islands,Samsung,76288
3,andaman-&-nicobar-islands,Realme,76288
4,andaman-&-nicobar-islands,Oppo,76288
5,andaman-&-nicobar-islands,OnePlus,76288
6,andaman-&-nicobar-islands,Tecno,76288
7,andaman-&-nicobar-islands,Apple,76288
8,andaman-&-nicobar-islands,Huawei,76288
9,andaman-&-nicobar-islands,Motorola,76288
10,andaman-&-nicobar-islands,Others,76288
11,andaman-&-nicobar-islands,Vivo,76288
12,andaman-&-nicobar-islands,Xiaomi,76288
13,andaman-&-nicobar-islands,Samsung,76288
14,andaman-&-nicobar-islands,Realme,76288
15,andaman-&-nicobar-islands,Oppo,76288
16,andaman-&-nicobar-islands,OnePlus,76288
17,andaman-&-nicobar-islands,Tecno,76288
18,andaman-&-nicobar-islands,Apple,76288
19,andaman-&-nicobar-islands,Huawei,76288
20,andaman-&-nicobar-islands,Motorola,76288
21,andaman-&-nicobar-islands,Others,76288
22,andhra-pradesh,Xiaomi,23857951
23,andhra-pradesh,Vivo,23857951
24,andhra-pradesh,Samsung,23857951
25,andhra-pradesh,Realme,23857951
26,andhra-pradesh,Oppo,23857951
27,andhra-pradesh,Apple,23857951
28,andhra-pradesh,OnePlus,23857951
29,andhra-pradesh,Motorola,23857951
30,andhra-pradesh,Huawei,23857951
31,andhra-pradesh,Lenovo,23857951
32,andhra-pradesh,Others,23857951
33,andhra-pradesh,Xiaomi,23857951
34,andhra-pradesh,Vivo,23857951
35,andhra-pradesh,Samsung,23857951
36,andhra-pradesh,Realme,23857951
37,andhra-pradesh,Oppo,23857951
38,andhra-pradesh,Apple,23857951
39,andhra-pradesh,OnePlus,23857951
40,andhra-pradesh,Motorola,23857951
41,andhra-pradesh,Huawei,23857951
42,andhra-pradesh,Lenovo,23857951
43,andhra-pradesh,Others,23857951
44,arunachal-pradesh,Samsung,335339
45,arunachal-pradesh,Xiaomi,335339
46,arunachal-pradesh,Vivo,335339
47,arunachal-pradesh,Others,335339
48,arunachal-pradesh,Infinix,335339
49,arunachal-pradesh,Gionee,335339
50,arunachal-pradesh,Huawei,335339
51,arunachal-pradesh,OnePlus,335339
52,arunachal-pradesh,Apple,335339
53,arunachal-pradesh,Realme,335339
54,arunachal-pradesh,Oppo,335339
55,arunachal-pradesh,Vivo,335339
56,arunachal-pradesh,Xiaomi,335339
57,arunachal-pradesh,Samsung,335339
58,arunachal-pradesh,Oppo,335339
59,arunachal-pradesh,Realme,335339
60,arunachal-pradesh,Apple,335339
61,arunachal-pradesh,OnePlus,335339
62,arunachal-pradesh,Huawei,335339
63,arunachal-pradesh,Gionee,335339
64,arunachal-pradesh,Infinix,335339
65,arunachal-pradesh,Others,335339
66,assam,Xiaomi,4492589
67,assam,Vivo,4492589
68,assam,Oppo,4492589
69,assam,Samsung,4492589
70,assam,Realme,4492589
71,assam,Apple,4492589
72,assam,Tecno,4492589
73,assam,Huawei,4492589
74,assam,OnePlus,4492589
75,assam,Infinix,4492589
76,assam,Others,4492589
77,assam,Xiaomi,4492589
78,assam,Vivo,4492589
79,assam,Oppo,4492589
80,assam,Samsung,4492589
81,assam,Realme,4492589
82,assam,Apple,4492589
83,assam,Tecno,4492589
84,assam,Huawei,4492589
85,assam,OnePlus,4492589
86,assam,Infinix,4492589
87,assam,Others,4492589
88,bihar,Xiaomi,18484658
89,bihar,Samsung,18484658
90,bihar,Vivo,18484658
91,bihar,Realme,18484658
92,bihar,Oppo,18484658
93,bihar,Infinix,18484658
94,bihar,Tecno,18484658
95,bihar,Motorola,18484658
96,bihar,Huawei,18484658
97,bihar,Apple,18484658
98,bihar,Others,18484658
99,bihar,Xiaomi,18484658
100,bihar,Samsung,18484658
101,bihar,Vivo,18484658
102,bihar,Realme,18484658
103,bihar,Oppo,18484658
104,bihar,Infinix,18484658
105,bihar,Tecno,18484658
106,bihar,Motorola,18484658
107,bihar,Huawei,18484658
108,bihar,Apple,18484658
109,bihar,Others,18484658
110,chandigarh,Xiaomi,541549
111,chandigarh,Vivo,541549
112,chandigarh,Samsung,541549
113,chandigarh,Oppo,541549
114,chandigarh,Apple,541549
115,chandigarh,Realme,541549
116,chandigarh,OnePlus,541549
117,chandigarh,Motorola,541549
118,chandigarh,Huawei,541549
119,chandigarh,HMD Global,541549
120,chandigarh,Others,541549
121,chandigarh,Xiaomi,541549
122,chandigarh,Vivo,541549
123,chandigarh,Samsung,541549
124,chandigarh,Oppo,541549
125,chandigarh,Apple,541549
126,chandigarh,Realme,541549
127,chandigarh,OnePlus,541549
128,chandigarh,Motorola,541549
129,chandigarh,Huawei,541549
130,chandigarh,HMD Global,541549
131,chandigarh,Others,541549
132,chhattisgarh,Vivo,5916961
133,chhattisgarh,Xiaomi,5916961
134,chhattisgarh,Samsung,5916961
135,chhattisgarh,Oppo,5916961
136,chhattisgarh,Realme,5916961
137,chhattisgarh,Micromax,5916961
138,chhattisgarh,OnePlus,5916961
139,chhattisgarh,Apple,5916961
140,chhattisgarh,Tecno,5916961
141,chhattisgarh,Infinix,5916961
142,chhattisgarh,Others,5916961
143,chhattisgarh,Vivo,5916961
144,chhattisgarh,Xiaomi,5916961
145,chhattisgarh,Samsung,5916961
146,chhattisgarh,Oppo,5916961
147,chhattisgarh,Realme,5916961
148,chhattisgarh,Micromax,5916961
149,chhattisgarh,OnePlus,5916961
150,chhattisgarh,Apple,5916961
151,chhattisgarh,Tecno,5916961
152,chhattisgarh,Infinix,5916961
153,chhattisgarh,Others,5916961
154,dadra-&-nagar-haveli-&-daman-&-diu,Vivo,424570
155,dadra-&-nagar-haveli-&-daman-&-diu,Xiaomi,424570
156,dadra-&-nagar-haveli-&-daman-&-diu,Samsung,424570
157,dadra-&-nagar-haveli-&-daman-&-diu,Oppo,424570
158,dadra-&-nagar-haveli-&-daman-&-diu,Realme,424570
159,dadra-&-nagar-haveli-&-daman-&-diu,Apple,424570
160,dadra-&-nagar-haveli-&-daman-&-diu,Tecno,424570
161,dadra-&-nagar-haveli-&-daman-&-diu,Infinix,424570
162,dadra-&-nagar-haveli-&-daman-&-diu,OnePlus,424570
163,dadra-&-nagar-haveli-&-daman-&-diu,Motorola,424570
164,dadra-&-nagar-haveli-&-daman-&-diu,Others,424570
165,dadra-&-nagar-haveli-&-daman-&-diu,Vivo,424570
166,dadra-&-nagar-haveli-&-daman-&-diu,Xiaomi,424570
167,dadra-&-nagar-haveli-&-daman-&-diu,Samsung,424570
168,dadra-&-nagar-haveli-&-daman-&-diu,Oppo,424570
169,dadra-&-nagar-haveli-&-daman-&-diu,Realme,424570
170,dadra-&-nagar-haveli-&-daman-&-diu,Apple,424570
171,dadra-&-nagar-haveli-&-daman-&-diu,Tecno,424570
172,dadra-&-nagar-haveli-&-daman-&-diu,Infinix,424570
173,dadra-&-nagar-haveli-&-daman-&-diu,OnePlus,424570
174,dadra-&-nagar-haveli-&-daman-&-diu,Motorola,424570
175,dadra-&-nagar-haveli-&-daman-&-diu,Others,424570
176,delhi,Xiaomi,13539197
177,delhi,Vivo,13539197
178,delhi,Samsung,13539197
179,delhi,Oppo,13539197
180,delhi,Realme,13539197
181,delhi,Apple,13539197
182,delhi,OnePlus,13539197
183,delhi,Motorola,13539197
184,delhi,Tecno,13539197
185,delhi,Huawei,13539197
186,delhi,Others,13539197
187,delhi,Xiaomi,13539197
188,delhi,Vivo,13539197
189,delhi,Samsung,13539197
190,delhi,Oppo,13539197
191,delhi,Realme,13539197
192,delhi,Apple,13539197
193,delhi,OnePlus,13539197
194,delhi,Motorola,13539197
195,delhi,Tecno,13539197
196,delhi,Huawei,13539197
197,delhi,Others,13539197
198,goa,Xiaomi,738628
199,goa,Samsung,738628
200,goa,Vivo,738628
201,goa,Oppo,738628
202,goa,Realme,738628
203,goa,Apple,738628
204,goa,OnePlus,738628
205,goa,Motorola,738628
206,goa,Huawei,738628
207,goa,Tecno,738628
208,goa,Others,738628
209,goa,Xiaomi,738628
210,goa,Samsung,738628
211,goa,Vivo,738628
212,goa,Oppo,738628
213,goa,Realme,738628
214,goa,Apple,738628
215,goa,OnePlus,738628
216,goa,Motorola,738628
217,goa,Huawei,738628
218,goa,Tecno,738628
219,goa,Others,738628
220,gujarat,Vivo,19265314
221,gujarat,Xiaomi,19265314
222,gujarat,Samsung,19265314
223,gujarat,Oppo,19265314
224,gujarat,Realme,19265314
225,gujarat,Apple,19265314
226,gujarat,OnePlus,19265314
227,gujarat,Tecno,19265314
228,gujarat,Lenovo,19265314
229,gujarat,Motorola,19265314
230,gujarat,Others,19265314
231,gujarat,Vivo,19265314
232,gujarat,Xiaomi,19265314
233,gujarat,Samsung,19265314
234,gujarat,Oppo,19265314
235,gujarat,Realme,19265314
236,gujarat,Apple,19265314
237,gujarat,OnePlus,19265314
238,gujarat,Tecno,19265314
239,gujarat,Lenovo,19265314
240,gujarat,Motorola,19265314
241,gujarat,Others,19265314
242,haryana,Xiaomi,12866988
243,haryana,Vivo,12866988
244,haryana,Samsung,12866988
245,haryana,Oppo,12866988
246,haryana,Realme,12866988
247,haryana,Apple,12866988
248,haryana,OnePlus,12866988
249,haryana,Tecno,12866988
250,haryana,Motorola,12866988
251,haryana,Huawei,12866988
252,haryana,Others,12866988
253,haryana,Xiaomi,12866988
254,haryana,Vivo,12866988
255,haryana,Samsung,12866988
256,haryana,Oppo,12866988
257,haryana,Realme,12866988
258,haryana,Apple,12866988
259,haryana,OnePlus,12866988
260,haryana,Tecno,12866988
261,haryana,Motorola,12866988
262,haryana,Huawei,12866988
263,haryana,Others,12866988
264,himachal-pradesh,Xiaomi,2143483
265,himachal-pradesh,Vivo,2143483
266,himachal-pradesh,Samsung,2143483
267,himachal-pradesh,Oppo,2143483
268,himachal-pradesh,Realme,2143483
269,himachal-pradesh,Apple,2143483
270,himachal-pradesh,Tecno,2143483
271,himachal-pradesh,Motorola,2143483
272,himachal-pradesh,Lava,2143483
273,himachal-pradesh,OnePlus,2143483
274,himachal-pradesh,Others,2143483
275,himachal-pradesh,Xiaomi,2143483
276,himachal-pradesh,Vivo,2143483
277,himachal-pradesh,Samsung,2143483
278,himachal-pradesh,Oppo,2143483
279,himachal-pradesh,Realme,2143483
280,himachal-pradesh,Apple,2143483
281,himachal-pradesh,Tecno,2143483
282,himachal-pradesh,Motorola,2143483
283,himachal-pradesh,Lava,2143483
284,himachal-pradesh,OnePlus,2143483
285,himachal-pradesh,Others,2143483
286,jammu-&-kashmir,Xiaomi,1549320
287,jammu-&-kashmir,Samsung,1549320
288,jammu-&-kashmir,Vivo,1549320
289,jammu-&-kashmir,Oppo,1549320
290,jammu-&-kashmir,Realme,1549320
291,jammu-&-kashmir,Apple,1549320
292,jammu-&-kashmir,OnePlus,1549320
293,jammu-&-kashmir,Motorola,1549320
294,jammu-&-kashmir,Huawei,1549320
295,jammu-&-kashmir,Tecno,1549320
296,jammu-&-kashmir,Others,1549320
297,jammu-&-kashmir,Xiaomi,1549320
298,jammu-&-kashmir,Samsung,1549320
299,jammu-&-kashmir,Vivo,1549320
300,jammu-&-kashmir,Oppo,1549320
301,jammu-&-kashmir,Realme,1549320
302,jammu-&-kashmir,Apple,1549320
303,jammu-&-kashmir,OnePlus,1549320
304,jammu-&-kashmir,Motorola,1549320
305,jammu-&-kashmir,Huawei,1549320
306,jammu-&-kashmir,Tecno,1549320
307,jammu-&-kashmir,Others,1549320
308,jharkhand,Xiaomi,7025275
309,jharkhand,Vivo,7025275
310,jharkhand,Samsung,7025275
311,jharkhand,Oppo,7025275
312,jharkhand,Realme,7025275
313,jharkhand,Motorola,7025275
314,jharkhand,Tecno,7025275
315,jharkhand,Apple,7025275
316,jharkhand,Infinix,7025275
317,jharkhand,OnePlus,7025275
318,jharkhand,Others,7025275
319,jharkhand,Xiaomi,7025275
320,jharkhand,Vivo,7025275
321,jharkhand,Samsung,7025275
322,jharkhand,Oppo,7025275
323,jharkhand,Realme,7025275
324,jharkhand,Motorola,7025275
325,jharkhand,Tecno,7025275
326,jharkhand,Apple,7025275
327,jharkhand,Infinix,7025275
328,jharkhand,OnePlus,7025275
329,jharkhand,Others,7025275
330,karnataka,Xiaomi,31200349
331,karnataka,Vivo,31200349
332,karnataka,Samsung,31200349
333,karnataka,Oppo,31200349
334,karnataka,Realme,31200349
335,karnataka,Apple,31200349
336,karnataka,OnePlus,31200349
337,karnataka,Motorola,31200349
338,karnataka,Huawei,31200349
339,karnataka,Lenovo,31200349
340,karnataka,Others,31200349
341,karnataka,Xiaomi,31200349
