State,Avg_Transaction_Value
ladakh,2339.22
arunachal-pradesh,2293.01
sikkim,2222.91
jammu-&-kashmir,1963.93
meghalaya,1946.02
nagaland,1929.74
manipur,1916.5
himachal-pradesh,1898.19
punjab,1739.26
uttarakhand,1613.73
kerala,1593.86
assam,1566.98
uttar-pradesh,1527.75
chandigarh,1507.58
rajasthan,1500.2
andaman-&-nicobar-islands,1491.64
mizoram,1466.86
madhya-pradesh,1459.73
haryana,1448.36
chhattisgarh,1447.6
karnataka,1401.42
goa,1398.48
tripura,1339.41
jharkhand,1336.79
puducherry,1328.59
telangana,1309.41
odisha,1306.77
dadra-&-nagar-haveli-&-daman-&-diu,1304.55
maharashtra,1301.61
gujarat,1296.2
tamil-nadu,1279.97
lakshadweep,1258.14
west-bengal,1253.36
bihar,1250.59
delhi,1249.57
andhra-pradesh,1164.03
