District,Total_Transactions,Total_Amount
bengaluru urban district,34216267692,39875683296382.83
pune district,18738107088,19460435547916.71
hyderabad district,15402747332,23813874023995.5
jaipur district,10793740812,15708183032928.38
rangareddy district,10076830240,14310280860811.008
medchal malkajgiri district,8214643800,11517755542656.836
visakhapatnam district,5151504382,8397136185158.545
khordha district,4895493152,5984294142739.087
gurugram district,4797632496,4799094344699.875
mumbai suburban district,4793400744,5797825356391.0625
