,State,District,Avg_Transaction_Value
0,bengaluru urban district,34216267692,39875683296382.83
1,pune district,18738107088,19460435547916.71
2,hyderabad district,15402747332,23813874023995.5
3,jaipur district,10793740812,15708183032928.38
4,rangareddy district,10076830240,14310280860811.008
5,medchal malkajgiri district,8214643800,11517755542656.836
6,visakhapatnam district,5151504382,8397136185158.545
7,khordha district,4895493152,5984294142739.087
8,gurugram district,4797632496,4799094344699.875
9,mumbai suburban district,4793400744,5797825356391.0625
