,State,Year,Total_Transactions,Total_Amount
0,andaman-&-nicobar-islands,2018,116042,378152207.8774113
1,andaman-&-nicobar-islands,2019,266208,946929513.9076495
2,andaman-&-nicobar-islands,2020,892548,2592846832.713269
3,andaman-&-nicobar-islands,2021,3344106,9850976161.254627
4,andaman-&-nicobar-islands,2022,10875758,24220513457.443207
5,andaman-&-nicobar-islands,2023,23556652,41866044226.0
6,andaman-&-nicobar-islands,2024,40362588,61479443894.0
7,andhra-pradesh,2018,155558224,244144029341.02518
8,andhra-pradesh,2019,594360508,1075582748837.7924
9,andhra-pradesh,2020,1527233398,3354493161307.7217
10,andhra-pradesh,2021,3193603314,7327329303865.947
11,andhra-pradesh,2022,5173220106,11167954175023.223
12,andhra-pradesh,2023,11046682514,20422038958734.0
13,andhra-pradesh,2024,16146735382,25746618532584.0
14,arunachal-pradesh,2018,870458,2254247928.3692126
15,arunachal-pradesh,2019,2629742,6931648389.984265
16,arunachal-pradesh,2020,7095810,18777356203.43791
17,arunachal-pradesh,2021,14086718,41783678447.842384
18,arunachal-pradesh,2022,29866240,71339554969.72812
19,arunachal-pradesh,2023,91646976,162912935996.0
20,arunachal-pradesh,2024,174250770,244870479368.0
21,assam,2018,17613554,26415094881.35524
22,assam,2019,45382030,94378992483.03116
23,assam,2020,94270448,220985462104.9137
24,assam,2021,248939534,580808810178.6177
25,assam,2022,650639378,1279068156443.8625
26,assam,2023,1226758198,1954253214406.0
27,assam,2024,2241278530,2765674581498.0
28,bihar,2018,89113770,136171381658.33661
29,bihar,2019,263973854,531282951260.3137
30,bihar,2020,533127956,1300595710808.7642
31,bihar,2021,1406668314,3143976559825.963
32,bihar,2022,3197974994,6186663573860.065
33,bihar,2023,5780860628,9696425754230.0
34,bihar,2024,10610334132,14807582757916.0
35,chandigarh,2018,4766062,9953209443.85328
36,chandigarh,2019,11768808,25022688109.977356
37,chandigarh,2020,17722646,40420082108.84139
38,chandigarh,2021,45872130,84407122629.5877
39,chandigarh,2022,101511986,161796008025.11255
40,chandigarh,2023,95403070,117894618912.0
41,chandigarh,2024,130665950,146319447516.0
42,chhattisgarh,2018,27866236,44264091477.63232
43,chhattisgarh,2019,91652966,152987919957.63403
44,chhattisgarh,2020,196046182,337741397939.48083
45,chhattisgarh,2021,466162578,778287666604.7325
46,chhattisgarh,2022,1100420746,1623418923022.1592
47,chhattisgarh,2023,2140099164,2777220994568.0
48,chhattisgarh,2024,3445039790,4067023641406.0
49,dadra-&-nagar-haveli-&-daman-&-diu,2018,2089664,3168238736.4888616
50,dadra-&-nagar-haveli-&-daman-&-diu,2019,5118384,7711847576.948768
51,dadra-&-nagar-haveli-&-daman-&-diu,2020,9615668,14190880078.016882
52,dadra-&-nagar-haveli-&-daman-&-diu,2021,22673764,31990159723.46915
53,dadra-&-nagar-haveli-&-daman-&-diu,2022,48435560,57624992507.30758
54,dadra-&-nagar-haveli-&-daman-&-diu,2023,117667602,118037511636.0
55,dadra-&-nagar-haveli-&-daman-&-diu,2024,196836188,170716084126.0
56,delhi,2018,128462488,191513016376.9
57,delhi,2019,508923424,744794454648.9462
58,delhi,2020,729643800,1265838065750.251
59,delhi,2021,1717920470,2842846146677.4136
60,delhi,2022,3464859326,5178696468858.3955
61,delhi,2023,4073499660,5561961192048.0
62,delhi,2024,6367324126,7489391153568.0
63,goa,2018,2489476,5297265231.724674
64,goa,2019,8229882,15982036081.321007
65,goa,2020,18160482,31724247980.930264
66,goa,2021,55196412,93751558349.80687
67,goa,2022,113623026,174377469618.8236
68,goa,2023,222372732,310344048498.0
69,goa,2024,309816880,390565697054.0
70,gujarat,2018,79523920,124876117111.46623
71,gujarat,2019,269499148,442660105093.85236
72,gujarat,2020,463730656,855395471157.0917
73,gujarat,2021,1077703386,2017740082865.5579
74,gujarat,2022,2213991384,3809403801552.7754
75,gujarat,2023,3585706094,5492115265710.0
76,gujarat,2024,5763576080,7643620802760.0
77,haryana,2018,63687816,119759881961.72041
78,haryana,2019,226094214,396804069206.78186
79,haryana,2020,453853510,864507868588.9137
80,haryana,2021,1012160616,1838726693761.559
81,haryana,2022,1985397492,3310166464720.8267
82,haryana,2023,3790244730,5425310435424.0
83,haryana,2024,5958363870,7334797711968.0
84,himachal-pradesh,2018,6728500,12374495017.44147
85,himachal-pradesh,2019,21845700,42201095469.9465
86,himachal-pradesh,2020,43204828,79922957273.1331
87,himachal-pradesh,2021,87657924,156125328042.10095
88,himachal-pradesh,2022,182199110,278775362638.1779
89,himachal-pradesh,2023,268704428,349501659306.0
90,himachal-pradesh,2024,391280618,456173819746.0
91,jammu-&-kashmir,2018,15526330,26511997481.828304
92,jammu-&-kashmir,2019,14975592,35451808335.37904
93,jammu-&-kashmir,2020,25553956,77122855360.08649
94,jammu-&-kashmir,2021,93934116,220953572791.09415
95,jammu-&-kashmir,2022,179819220,329362009761.0733
96,jammu-&-kashmir,2023,453172508,623076086294.0
97,jammu-&-kashmir,2024,858223748,1056888025122.0
98,jharkhand,2018,39475330,51998500215.61814
99,jharkhand,2019,103970368,163727320249.72095
100,jharkhand,2020,209848660,389050449558.4995
101,jharkhand,2021,530857104,952180261114.3119
102,jharkhand,2022,1131903818,1855442112855.6897
103,jharkhand,2023,2444935568,3413381184948.0
104,jharkhand,2024,4071851070,4987512402380.0
105,karnataka,2018,199851356,347933907454.3898
106,karnataka,2019,1221038400,1582524540514.5444
107,karnataka,2020,2432306234,3606568292562.462
108,karnataka,2021,5478937030,8203177144299.858
109,karnataka,2022,9807952132,14008460915767.555
110,karnataka,2023,17692522362,22950167290234.0
111,karnataka,2024,25109285044,30658611456500.0
112,kerala,2018,23049094,38719969114.46198
113,kerala,2019,71075196,121695078111.80875
114,kerala,2020,174136712,298529141216.99994
115,kerala,2021,468718764,737032150629.0891
116,kerala,2022,907939318,1261010999857.9165
117,kerala,2023,1308587852,1693503390912.0
118,kerala,2024,1648288664,2002047598416.0
119,ladakh,2018,162348,558963159.8926797
120,ladakh,2019,584038,2135868630.336971
121,ladakh,2020,1663570,5697767293.327844
122,ladakh,2021,3792610,13556397582.864113
123,ladakh,2022,8044636,24136072039.78266
124,ladakh,2023,22565290,52467368744.0
125,ladakh,2024,41879258,79436806750.0
126,lakshadweep,2018,12510,33837333.46097392
127,lakshadweep,2019,24552,77900658.97004041
128,lakshadweep,2020,65220,163726883.77237165
129,lakshadweep,2021,98618,288455191.59836364
130,lakshadweep,2022,132708,426525835.75254446
131,lakshadweep,2023,343348,795335686.0
132,lakshadweep,2024,1091032,1432859980.0
133,madhya-pradesh,2018,114222694,165322069495.52997
134,madhya-pradesh,2019,399778924,597538188369.4135
135,madhya-pradesh,2020,835879482,1529272232964.3374
136,madhya-pradesh,2021,2282129192,3860669637347.902
137,madhya-pradesh,2022,5295381428,7901196457452.492
138,madhya-pradesh,2023,7327422472,9857584856690.0
139,madhya-pradesh,2024,11889537926,14338975423734.0
140,maharashtra,2018,232603070,379696850559.8593
141,maharashtra,2019,1052450246,1474654193105.8105
142,maharashtra,2020,2199333540,3357634647444.5127
143,maharashtra,2021,5790164576,8639236372145.802
144,maharashtra,2022,11504408480,15691443366297.42
145,maharashtra,2023,17549655318,21636955263452.0
146,maharashtra,2024,25641802234,29568770682938.0
147,manipur,2018,1322316,2740541398.69967
148,manipur,2019,2634372,6894275374.450303
149,manipur,2020,9899778,32031454546.02346
150,manipur,2021,28037290,76050897087.9851
151,manipur,2022,48401446,120149597358.32864
152,manipur,2023,15686664,46916105288.0
153,manipur,2024,40718814,87748399006.0
154,meghalaya,2018,777700,1461388536.3415968
155,meghalaya,2019,2227116,4493247050.408933
156,meghalaya,2020,4978530,10630343137.656435
157,meghalaya,2021,8390328,21733796769.18912
158,meghalaya,2022,24022024,57087343413.37378
159,meghalaya,2023,45080286,92898077746.0
160,meghalaya,2024,91794854,136783605762.0
161,mizoram,2018,280340,871526432.3768903
162,mizoram,2019,738620,2227321708.2364926
163,mizoram,2020,1858762,5087474607.9810295
164,mizoram,2021,3511546,10936788903.96605
165,mizoram,2022,5203412,15865044456.10231
166,mizoram,2023,10145332,25588799666.0
