State,Correlation_Count_Amount
manipur,0.8313932312107115
nagaland,0.8283759148709136
mizoram,0.8244925569666521
meghalaya,0.800168333498693
sikkim,0.7986836188584264
arunachal-pradesh,0.7951705170071743
ladakh,0.7795322491117345
west-bengal,0.7652570006376569
bihar,0.7489221883790388
tripura,0.7456445093163168
assam,0.7422766695089991
andaman-&-nicobar-islands,0.7282038686450143
chhattisgarh,0.711207398037934
jharkhand,0.7012081598182889
odisha,0.697205207076511
andhra-pradesh,0.6965631279615677
uttar-pradesh,0.6953338114519534
goa,0.6909182088820134
jammu-&-kashmir,0.6768559295551788
punjab,0.6742586096545305
rajasthan,0.6522375541964679
himachal-pradesh,0.6513580137955289
madhya-pradesh,0.650164996468163
kerala,0.6477654605948738
uttarakhand,0.6430734248142865
tamil-nadu,0.6377141707956028
gujarat,0.6335502951313705
puducherry,0.6250023624714509
dadra-&-nagar-haveli-&-daman-&-diu,0.6228604134369217
haryana,0.6099314872401377
chandigarh,0.6071735440136908
maharashtra,0.6010147259144691
lakshadweep,0.5964846160896984
telangana,0.5962974309267353
karnataka,0.5893519402633666
delhi,0.5840781403977573
