,State,Total_Registered_Users,Total_App_Opens,Engagement_Ratio
0,rajasthan,4744202936,200186724320,42.1961
1,andhra-pradesh,4959126370,204890840836,41.3159
2,telangana,4661970566,185279758070,39.7428
3,arunachal-pradesh,61722540,2345142646,37.9949
4,karnataka,6410201160,243011474156,37.9101
5,madhya-pradesh,3974573812,143048346672,35.9909
6,mizoram,20459098,706186118,34.5170
7,ladakh,18492848,635979212,34.3905
8,chhattisgarh,1191012108,38578314874,32.3912
9,odisha,2520773354,77072724432,30.5750
