,State,Year,Total_Registered_Users
0,andaman-&-nicobar-islands,2018,957352
1,andaman-&-nicobar-islands,2019,1984796
2,andaman-&-nicobar-islands,2020,3405798
3,andaman-&-nicobar-islands,2021,5689530
4,andaman-&-nicobar-islands,2022,1678336
5,andhra-pradesh,2018,440528352
6,andhra-pradesh,2019,877549156
7,andhra-pradesh,2020,1322435510
8,andhra-pradesh,2021,1793738430
9,andhra-pradesh,2022,524874922
10,arunachal-pradesh,2018,3567344
11,arunachal-pradesh,2019,9114864
12,arunachal-pradesh,2020,16806636
13,arunachal-pradesh,2021,24856238
14,arunachal-pradesh,2022,7377458
15,assam,2018,61166732
16,assam,2019,141503032
17,assam,2020,234805670
18,assam,2021,332278650
19,assam,2022,98836958
20,bihar,2018,301419272
21,bihar,2019,617263130
22,bihar,2020,981377034
23,bihar,2021,1373133828
24,bihar,2022,406662476
25,chandigarh,2018,11508794
26,chandigarh,2019,22143902
27,chandigarh,2020,30871016
28,chandigarh,2021,40944750
29,chandigarh,2022,11914078
30,chhattisgarh,2018,97410016
31,chhattisgarh,2019,203740284
32,chhattisgarh,2020,316978904
33,chhattisgarh,2021,442709762
34,chhattisgarh,2022,130173142
35,dadra-&-nagar-haveli-&-daman-&-diu,2018,7333348
36,dadra-&-nagar-haveli-&-daman-&-diu,2019,14820058
37,dadra-&-nagar-haveli-&-daman-&-diu,2020,22610478
38,dadra-&-nagar-haveli-&-daman-&-diu,2021,31618994
39,dadra-&-nagar-haveli-&-daman-&-diu,2022,9340540
40,delhi,2018,285524514
41,delhi,2019,566211360
42,delhi,2020,770208516
43,delhi,2021,1021132134
44,delhi,2022,297862334
45,goa,2018,12391764
46,goa,2019,26132304
47,goa,2020,40151870
48,goa,2021,55655094
49,goa,2022,16249816
50,gujarat,2018,357898112
51,gujarat,2019,703566138
52,gujarat,2020,1049962100
53,gujarat,2021,1440825518
54,gujarat,2022,423836908
55,haryana,2018,244377210
56,haryana,2019,481079016
57,haryana,2020,709067414
58,haryana,2021,963606028
59,haryana,2022,283073736
60,himachal-pradesh,2018,32486278
61,himachal-pradesh,2019,72334614
62,himachal-pradesh,2020,115352424
63,himachal-pradesh,2021,159730450
64,himachal-pradesh,2022,47156626
65,jammu-&-kashmir,2018,26776772
66,jammu-&-kashmir,2019,54861048
67,jammu-&-kashmir,2020,79409946
68,jammu-&-kashmir,2021,115560610
69,jammu-&-kashmir,2022,34085040
70,jharkhand,2018,122378784
71,jharkhand,2019,243783430
72,jharkhand,2020,376428646
73,jharkhand,2021,522777002
74,jharkhand,2022,154556050
75,karnataka,2018,515611338
76,karnataka,2019,1127604544
77,karnataka,2020,1728321716
78,karnataka,2021,2352255884
79,karnataka,2022,686407678
80,kerala,2018,109025290
81,kerala,2019,245997224
82,kerala,2020,457085838
83,kerala,2021,677077742
84,kerala,2022,197390578
85,ladakh,2018,1393348
86,ladakh,2019,3243812
87,ladakh,2020,4929716
88,ladakh,2021,6891148
89,ladakh,2022,2034824
90,lakshadweep,2018,71742
91,lakshadweep,2019,169554
92,lakshadweep,2020,303204
93,lakshadweep,2021,448756
94,lakshadweep,2022,131780
95,madhya-pradesh,2018,344740352
96,madhya-pradesh,2019,683352560
97,madhya-pradesh,2020,1052215230
98,madhya-pradesh,2021,1461830436
99,madhya-pradesh,2022,432435234
100,maharashtra,2018,839212000
101,maharashtra,2019,1762635688
102,maharashtra,2020,2657063640
103,maharashtra,2021,3625731054
104,maharashtra,2022,1061007860
105,manipur,2018,4851088
106,manipur,2019,11196856
107,manipur,2020,20684510
108,manipur,2021,30746584
109,manipur,2022,9061800
110,meghalaya,2018,2905012
111,meghalaya,2019,7120476
112,meghalaya,2020,12852686
113,meghalaya,2021,18917536
114,meghalaya,2022,5628458
115,mizoram,2018,1141404
116,mizoram,2019,2778798
117,mizoram,2020,5480618
118,mizoram,2021,8521788
119,mizoram,2022,2536490
120,nagaland,2018,2477134
121,nagaland,2019,6468066
122,nagaland,2020,13258124
123,nagaland,2021,20524504
124,nagaland,2022,6082626
125,odisha,2018,224387350
126,odisha,2019,454714678
127,odisha,2020,669059402
128,odisha,2021,905866786
129,odisha,2022,266745138
130,puducherry,2018,6730636
131,puducherry,2019,14776894
132,puducherry,2020,24008754
133,puducherry,2021,33792352
134,puducherry,2022,9857122
135,punjab,2018,117440290
136,punjab,2019,244445454
137,punjab,2020,391975848
138,punjab,2021,546926380
139,punjab,2022,160659972
140,rajasthan,2018,415917854
141,rajasthan,2019,818806428
142,rajasthan,2020,1254091520
143,rajasthan,2021,1740612280
144,rajasthan,2022,514774854
145,sikkim,2018,2955106
146,sikkim,2019,6711210
147,sikkim,2020,11173096
148,sikkim,2021,15709166
149,sikkim,2022,4611552
150,tamil-nadu,2018,312418590
151,tamil-nadu,2019,699055280
152,tamil-nadu,2020,1144532202
153,tamil-nadu,2021,1627950104
154,tamil-nadu,2022,476674440
155,telangana,2018,423364810
156,telangana,2019,843054960
157,telangana,2020,1236482060
158,telangana,2021,1671755272
159,telangana,2022,487313464
160,tripura,2018,8990630
161,tripura,2019,20210344
162,tripura,2020,31294318
163,tripura,2021,43296220
164,tripura,2022,12806728
165,uttar-pradesh,2018,650655522
166,uttar-pradesh,2019,1336921498
167,uttar-pradesh,2020,2083884550
168,uttar-pradesh,2021,2901877132
169,uttar-pradesh,2022,857993224
170,uttarakhand,2018,65007800
171,uttarakhand,2019,131512260
172,uttarakhand,2020,199184810
173,uttarakhand,2021,274993092
174,uttarakhand,2022,80846238
175,west-bengal,2018,386531244
176,west-bengal,2019,804991000
177,west-bengal,2020,1216452666
178,west-bengal,2021,1644644826
179,west-bengal,2022,482235314
